combo_index,min_rsi_a,require_close_above_ubb,min_bb_touch_strength_a,min_candle_rejection_b,min_volume_ratio_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
2,60.0,True,0.0,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
34,60.0,True,0.2,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
66,60.0,True,0.4,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
98,60.0,True,0.6,0.0,0.0,8,2,5.0,25,16,9,64.0,221.8,8.87,2.402,63.0,8.87
130,65.0,True,0.0,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
162,65.0,True,0.2,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
194,65.0,True,0.4,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
226,65.0,True,0.6,0.0,0.0,8,2,5.0,19,12,7,63.16,167.0,8.79,2.358,63.0,8.79
129,65.0,False,0.0,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
161,65.0,False,0.2,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
193,65.0,False,0.4,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
225,65.0,False,0.6,0.0,0.0,8,2,5.0,27,15,12,55.56,137.0,5.07,1.749,113.0,5.07
1,60.0,False,0.0,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
33,60.0,False,0.2,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
65,60.0,False,0.4,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
97,60.0,False,0.6,0.0,0.0,8,2,5.0,41,23,18,56.1,204.3,4.98,1.715,133.0,4.98
257,70.0,False,0.0,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
289,70.0,False,0.2,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
321,70.0,False,0.4,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
353,70.0,False,0.6,0.0,0.0,8,2,5.0,15,8,7,53.33,57.0,3.8,1.613,33.0,3.8
258,70.0,True,0.0,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
290,70.0,True,0.2,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
322,70.0,True,0.4,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
354,70.0,True,0.6,0.0,0.0,8,2,5.0,12,7,5,58.33,47.0,3.92,1.505,43.0,3.92
6,60.0,True,0.0,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
38,60.0,True,0.2,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
70,60.0,True,0.4,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
102,60.0,True,0.6,0.0,1.2,8,2,5.0,7,4,3,57.14,20.0,2.86,1.222,30.0,2.86
4,60.0,True,0.0,0.0,1.0,8,2,5.0,10,5,5,50.0,0.0,0.0,1.0,30.0,0.0
36,60.0,True,0.2,0.0,1.0,8,2,5.0,10,5,5,50.0,0.0,0.0,1.0,30.0,0.0
68,60.0,True,0.4,0.0,1.0,8,2,5.0,10,5,5,50.0,0.0,0.0,1.0,30.0,0.0
100,60.0,True,0.6,0.0,1.0,8,2,5.0,10,5,5,50.0,0.0,0.0,1.0,30.0,0.0
261,70.0,False,0.0,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
262,70.0,True,0.0,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
293,70.0,False,0.2,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
294,70.0,True,0.2,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
325,70.0,False,0.4,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
326,70.0,True,0.4,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
357,70.0,False,0.6,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
358,70.0,True,0.6,0.0,1.2,8,2,5.0,4,2,2,50.0,-10.0,-2.5,0.833,30.0,-2.5
5,60.0,False,0.0,0.0,1.2,8,2,5.0,11,5,6,45.45,-37.5,-3.41,0.762,120.0,-3.41
37,60.0,False,0.2,0.0,1.2,8,2,5.0,11,5,6,45.45,-37.5,-3.41,0.762,120.0,-3.41
69,60.0,False,0.4,0.0,1.2,8,2,5.0,11,5,6,45.45,-37.5,-3.41,0.762,120.0,-3.41
101,60.0,False,0.6,0.0,1.2,8,2,5.0,11,5,6,45.45,-37.5,-3.41,0.762,120.0,-3.41
3,60.0,False,0.0,0.0,1.0,8,2,5.0,14,6,8,42.86,-57.5,-4.11,0.693,120.0,-4.11
35,60.0,False,0.2,0.0,1.0,8,2,5.0,14,6,8,42.86,-57.5,-4.11,0.693,120.0,-4.11
67,60.0,False,0.4,0.0,1.0,8,2,5.0,14,6,8,42.86,-57.5,-4.11,0.693,120.0,-4.11
99,60.0,False,0.6,0.0,1.0,8,2,5.0,14,6,8,42.86,-57.5,-4.11,0.693,120.0,-4.11
8,60.0,True,0.0,0.0,1.5,8,2,5.0,2,1,1,50.0,-10.0,-5.0,0.667,30.0,-5.0
40,60.0,True,0.2,0.0,1.5,8,2,5.0,2,1,1,50.0,-10.0,-5.0,0.667,30.0,-5.0
72,60.0,True,0.4,0.0,1.5,8,2,5.0,2,1,1,50.0,-10.0,-5.0,0.667,30.0,-5.0
104,60.0,True,0.6,0.0,1.5,8,2,5.0,2,1,1,50.0,-10.0,-5.0,0.667,30.0,-5.0
134,65.0,True,0.0,0.0,1.2,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,50.0,-8.0
166,65.0,True,0.2,0.0,1.2,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,50.0,-8.0
198,65.0,True,0.4,0.0,1.2,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,50.0,-8.0
230,65.0,True,0.6,0.0,1.2,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,50.0,-8.0
259,70.0,False,0.0,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
260,70.0,True,0.0,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
291,70.0,False,0.2,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
292,70.0,True,0.2,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
323,70.0,False,0.4,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
324,70.0,True,0.4,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
355,70.0,False,0.6,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
356,70.0,True,0.6,0.0,1.0,8,2,5.0,5,2,3,40.0,-40.0,-8.0,0.556,60.0,-8.0
132,65.0,True,0.0,0.0,1.0,8,2,5.0,7,2,5,28.57,-70.0,-10.0,0.417,80.0,-10.0
164,65.0,True,0.2,0.0,1.0,8,2,5.0,7,2,5,28.57,-70.0,-10.0,0.417,80.0,-10.0
196,65.0,True,0.4,0.0,1.0,8,2,5.0,7,2,5,28.57,-70.0,-10.0,0.417,80.0,-10.0
228,65.0,True,0.6,0.0,1.0,8,2,5.0,7,2,5,28.57,-70.0,-10.0,0.417,80.0,-10.0
133,65.0,False,0.0,0.0,1.2,8,2,5.0,7,2,5,28.57,-100.0,-14.29,0.333,110.0,-14.29
165,65.0,False,0.2,0.0,1.2,8,2,5.0,7,2,5,28.57,-100.0,-14.29,0.333,110.0,-14.29
197,65.0,False,0.4,0.0,1.2,8,2,5.0,7,2,5,28.57,-100.0,-14.29,0.333,110.0,-14.29
229,65.0,False,0.6,0.0,1.2,8,2,5.0,7,2,5,28.57,-100.0,-14.29,0.333,110.0,-14.29
7,60.0,False,0.0,0.0,1.5,8,2,5.0,4,1,3,25.0,-47.5,-11.88,0.296,37.5,-11.88
39,60.0,False,0.2,0.0,1.5,8,2,5.0,4,1,3,25.0,-47.5,-11.88,0.296,37.5,-11.88
71,60.0,False,0.4,0.0,1.5,8,2,5.0,4,1,3,25.0,-47.5,-11.88,0.296,37.5,-11.88
103,60.0,False,0.6,0.0,1.5,8,2,5.0,4,1,3,25.0,-47.5,-11.88,0.296,37.5,-11.88
131,65.0,False,0.0,0.0,1.0,8,2,5.0,9,2,7,22.22,-130.0,-14.44,0.278,140.0,-14.44
163,65.0,False,0.2,0.0,1.0,8,2,5.0,9,2,7,22.22,-130.0,-14.44,0.278,140.0,-14.44
195,65.0,False,0.4,0.0,1.0,8,2,5.0,9,2,7,22.22,-130.0,-14.44,0.278,140.0,-14.44
227,65.0,False,0.6,0.0,1.0,8,2,5.0,9,2,7,22.22,-130.0,-14.44,0.278,140.0,-14.44
136,65.0,True,0.0,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
168,65.0,True,0.2,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
200,65.0,True,0.4,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
232,65.0,True,0.6,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
263,70.0,False,0.0,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
264,70.0,True,0.0,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
295,70.0,False,0.2,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
296,70.0,True,0.2,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
327,70.0,False,0.4,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
328,70.0,True,0.4,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
359,70.0,False,0.6,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
360,70.0,True,0.6,0.0,1.5,8,2,5.0,1,0,1,0.0,-30.0,-30.0,0.0,0.0,-30.0
135,65.0,False,0.0,0.0,1.5,8,2,5.0,2,0,2,0.0,-60.0,-30.0,0.0,30.0,-30.0
167,65.0,False,0.2,0.0,1.5,8,2,5.0,2,0,2,0.0,-60.0,-30.0,0.0,30.0,-30.0
199,65.0,False,0.4,0.0,1.5,8,2,5.0,2,0,2,0.0,-60.0,-30.0,0.0,30.0,-30.0
231,65.0,False,0.6,0.0,1.5,8,2,5.0,2,0,2,0.0,-60.0,-30.0,0.0,30.0,-30.0
10,60.0,True,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
9,60.0,False,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
12,60.0,True,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
11,60.0,False,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
14,60.0,True,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
13,60.0,False,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
15,60.0,False,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
16,60.0,True,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
17,60.0,False,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
18,60.0,True,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
21,60.0,False,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
19,60.0,False,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
20,60.0,True,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
23,60.0,False,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
22,60.0,True,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
24,60.0,True,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
27,60.0,False,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
25,60.0,False,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
28,60.0,True,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
26,60.0,True,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
29,60.0,False,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
30,60.0,True,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
31,60.0,False,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
32,60.0,True,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
41,60.0,False,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
42,60.0,True,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
43,60.0,False,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
44,60.0,True,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
45,60.0,False,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
46,60.0,True,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
47,60.0,False,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
48,60.0,True,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
49,60.0,False,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
51,60.0,False,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
50,60.0,True,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
52,60.0,True,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
54,60.0,True,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
53,60.0,False,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
55,60.0,False,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
56,60.0,True,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
57,60.0,False,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
58,60.0,True,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
59,60.0,False,0.2,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
60,60.0,True,0.2,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
61,60.0,False,0.2,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
62,60.0,True,0.2,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
63,60.0,False,0.2,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
64,60.0,True,0.2,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
73,60.0,False,0.4,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
74,60.0,True,0.4,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
75,60.0,False,0.4,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
76,60.0,True,0.4,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
77,60.0,False,0.4,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
78,60.0,True,0.4,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
79,60.0,False,0.4,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
81,60.0,False,0.4,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
80,60.0,True,0.4,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
82,60.0,True,0.4,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
83,60.0,False,0.4,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
84,60.0,True,0.4,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
85,60.0,False,0.4,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
86,60.0,True,0.4,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
87,60.0,False,0.4,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
89,60.0,False,0.4,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
88,60.0,True,0.4,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
90,60.0,True,0.4,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
91,60.0,False,0.4,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
92,60.0,True,0.4,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
93,60.0,False,0.4,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
94,60.0,True,0.4,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
95,60.0,False,0.4,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
96,60.0,True,0.4,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
105,60.0,False,0.6,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
106,60.0,True,0.6,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
107,60.0,False,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
108,60.0,True,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
109,60.0,False,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
110,60.0,True,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
111,60.0,False,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
113,60.0,False,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
112,60.0,True,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
114,60.0,True,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
115,60.0,False,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
116,60.0,True,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
