combo_index,min_rsi_a,require_close_above_ubb,min_bb_touch_strength_a,min_candle_rejection_b,min_volume_ratio_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
117,60.0,False,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
119,60.0,False,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
118,60.0,True,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
120,60.0,True,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
121,60.0,False,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
122,60.0,True,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
123,60.0,False,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
124,60.0,True,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
125,60.0,False,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
126,60.0,True,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
127,60.0,False,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
128,60.0,True,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
137,65.0,False,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
138,65.0,True,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
139,65.0,False,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
141,65.0,False,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
140,65.0,True,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
143,65.0,False,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
142,65.0,True,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
144,65.0,True,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
145,65.0,False,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
147,65.0,False,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
146,65.0,True,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
148,65.0,True,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
149,65.0,False,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
151,65.0,False,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
150,65.0,True,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
152,65.0,True,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
153,65.0,False,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
154,65.0,True,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
155,65.0,False,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
156,65.0,True,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
157,65.0,False,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
158,65.0,True,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
159,65.0,False,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
160,65.0,True,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
169,65.0,False,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
171,65.0,False,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
170,65.0,True,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
173,65.0,False,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
172,65.0,True,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
174,65.0,True,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
175,65.0,False,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
176,65.0,True,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
177,65.0,False,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
178,65.0,True,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
179,65.0,False,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
181,65.0,False,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
180,65.0,True,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
182,65.0,True,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
183,65.0,False,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
185,65.0,False,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
184,65.0,True,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
187,65.0,False,0.2,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
186,65.0,True,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
188,65.0,True,0.2,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
189,65.0,False,0.2,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
191,65.0,False,0.2,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
190,65.0,True,0.2,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
192,65.0,True,0.2,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
201,65.0,False,0.4,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
203,65.0,False,0.4,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
202,65.0,True,0.4,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
204,65.0,True,0.4,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
205,65.0,False,0.4,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
206,65.0,True,0.4,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
207,65.0,False,0.4,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
208,65.0,True,0.4,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
209,65.0,False,0.4,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
210,65.0,True,0.4,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
211,65.0,False,0.4,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
212,65.0,True,0.4,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
213,65.0,False,0.4,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
215,65.0,False,0.4,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
214,65.0,True,0.4,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
216,65.0,True,0.4,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
217,65.0,False,0.4,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
218,65.0,True,0.4,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
219,65.0,False,0.4,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
220,65.0,True,0.4,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
221,65.0,False,0.4,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
223,65.0,False,0.4,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
222,65.0,True,0.4,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
224,65.0,True,0.4,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
233,65.0,False,0.6,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
234,65.0,True,0.6,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
235,65.0,False,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
236,65.0,True,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
237,65.0,False,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
238,65.0,True,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
239,65.0,False,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
240,65.0,True,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
241,65.0,False,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
242,65.0,True,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
243,65.0,False,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
244,65.0,True,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
245,65.0,False,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
247,65.0,False,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
246,65.0,True,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
248,65.0,True,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
249,65.0,False,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
250,65.0,True,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
251,65.0,False,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
253,65.0,False,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
252,65.0,True,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
254,65.0,True,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
255,65.0,False,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
256,65.0,True,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
265,70.0,False,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
266,70.0,True,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
267,70.0,False,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
269,70.0,False,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
268,70.0,True,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
270,70.0,True,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
271,70.0,False,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
272,70.0,True,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
273,70.0,False,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
274,70.0,True,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
275,70.0,False,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
277,70.0,False,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
276,70.0,True,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
279,70.0,False,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
278,70.0,True,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
280,70.0,True,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
281,70.0,False,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
282,70.0,True,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
283,70.0,False,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
284,70.0,True,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
285,70.0,False,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
287,70.0,False,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
286,70.0,True,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
288,70.0,True,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
297,70.0,False,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
298,70.0,True,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
299,70.0,False,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
301,70.0,False,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
300,70.0,True,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
302,70.0,True,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
303,70.0,False,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
304,70.0,True,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
305,70.0,False,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
306,70.0,True,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
307,70.0,False,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
308,70.0,True,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
309,70.0,False,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
310,70.0,True,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
312,70.0,True,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
311,70.0,False,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
313,70.0,False,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
314,70.0,True,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
315,70.0,False,0.2,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
316,70.0,True,0.2,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
317,70.0,False,0.2,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
318,70.0,True,0.2,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
319,70.0,False,0.2,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
320,70.0,True,0.2,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
329,70.0,False,0.4,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
331,70.0,False,0.4,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
330,70.0,True,0.4,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
332,70.0,True,0.4,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
333,70.0,False,0.4,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
335,70.0,False,0.4,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
334,70.0,True,0.4,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
336,70.0,True,0.4,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
337,70.0,False,0.4,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
338,70.0,True,0.4,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
339,70.0,False,0.4,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
341,70.0,False,0.4,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
340,70.0,True,0.4,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
342,70.0,True,0.4,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
343,70.0,False,0.4,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
344,70.0,True,0.4,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
345,70.0,False,0.4,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
347,70.0,False,0.4,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
346,70.0,True,0.4,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
349,70.0,False,0.4,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
348,70.0,True,0.4,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
350,70.0,True,0.4,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
351,70.0,False,0.4,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
352,70.0,True,0.4,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
361,70.0,False,0.6,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
362,70.0,True,0.6,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
363,70.0,False,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
365,70.0,False,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
364,70.0,True,0.6,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
366,70.0,True,0.6,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
367,70.0,False,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
368,70.0,True,0.6,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
369,70.0,False,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
370,70.0,True,0.6,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
371,70.0,False,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
372,70.0,True,0.6,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
373,70.0,False,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
375,70.0,False,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
374,70.0,True,0.6,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
377,70.0,False,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
376,70.0,True,0.6,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
378,70.0,True,0.6,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
380,70.0,True,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
379,70.0,False,0.6,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
381,70.0,False,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
382,70.0,True,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
383,70.0,False,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
384,70.0,True,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
